category,icao,inf_time_s,status
single,KADS,4.351355314254761,ok
single,KAVL,1.1283824443817139,ok
single,KCHO,0.8405065536499023,ok
single,KCMA,1.4131042957305908,ok
single,KCRW,1.1359827518463135,ok
single,KGCN,1.689814805984497,ok
single,KGEU,0.845613956451416,ok
single,KGKY,0.6876120567321777,ok
single,KGRK,1.8435766696929932,ok
single,KGSP,2.3205578327178955,ok
single,KGVT,3.3196218013763428,ok
single,KGYR,1.4696435928344727,ok
single,KJAC,0.8745160102844238,ok
single,KLBE,1.720820426940918,ok
single,KMDT,1.700415849685669,ok
single,KMER,3.5512092113494873,ok
single,KMFR,1.592325210571289,ok
single,KMYR,1.4160735607147217,ok
single,KPSM,2.646451234817505,ok
single,KRYY,0.9059760570526123,ok
single,KSDL,1.4166812896728516,ok
single,KSGR,0.6108267307281494,ok
single,KTKI,0.5503551959991455,ok
single,KTTD,0.5241222381591797,ok
single,KUNV,1.1235451698303223,ok
parallel,KABI,4.121409177780151,ok
parallel,KADW,0.5468580722808838,failed
parallel,KAFW,1.5758142471313477,ok
parallel,KATL,8.416443586349487,ok
parallel,KAUS,4.224004507064819,ok
parallel,KBOI,4.1376495361328125,ok
parallel,KBZN,2.3085508346557617,ok
parallel,KCCR,1.1645324230194092,ok
parallel,KDVT,0.8507363796234131,ok
parallel,KHND,4.682132005691528,ok
parallel,KHSV,9.695463180541992,ok
parallel,KILN,4.407027721405029,ok
parallel,KIWA,4.519674301147461,ok
parallel,KJFK,12.491376161575317,ok
parallel,KLAX,6.935803413391113,ok
parallel,KLCK,38.745657444000244,ok
parallel,KLSV,3.065577983856201,ok
parallel,KMOD,3.830202341079712,ok
parallel,KPHX,10.00126051902771,ok
parallel,KPSP,9.091673135757446,ok
parallel,KPTK,0.859227180480957,ok
parallel,KSCK,28.20802330970764,ok
parallel,KSDM,1.5389878749847412,ok
parallel,KSPS,28.567824125289917,ok
parallel,KTYS,8.832542419433594,ok
inter,KABY,10.414546012878418,ok
inter,KACK,19.210636615753174,ok
inter,KAVP,4.033596992492676,ok
inter,KBED,22.232555389404297,ok
inter,KBOS,65.05493474006653,ok
inter,KBTL,1.0440349578857422,failed
inter,KBUF,12.530987739562988,ok
inter,KBUR,1.874077558517456,ok
inter,KCCR,0.9796445369720459,ok
inter,KCNM,3.4631552696228027,ok
inter,KDHN,5.846745491027832,ok
inter,KELM,6.620697736740112,ok
inter,KESN,3.0770649909973145,ok
inter,KEWB,4.104799509048462,ok
inter,KFAR,3.9036271572113037,ok
inter,KFRG,1.9607067108154297,ok
inter,KHVN,5.121638536453247,ok
inter,KHYA,5.6137566566467285,ok
inter,KLMT,2.68294095993042,ok
inter,KMAF,16.353708505630493,ok
inter,KMCI,1.1129028797149658,failed
inter,KMQY,6.611012697219849,ok
inter,KPDK,4.027364492416382,ok
inter,KSFO,7.447228670120239,ok
inter,KSHV,9.37416696548462,ok
mixed,KABQ,9.206193685531616,ok
mixed,KCCR,1.0801348686218262,ok
mixed,KCNO,10.93457317352295,ok
mixed,KDET,1.3803410530090332,ok
mixed,KDTO,0.26279115676879883,failed
mixed,KDWH,0.32056117057800293,failed
mixed,KELP,6.705324172973633,ok
mixed,KEUG,8.214178800582886,ok
mixed,KEVV,2.9869167804718018,ok
mixed,KFTY,0.524709939956665,ok
mixed,KHOT,1.3625872135162354,ok
mixed,KLBB,0.7446362972259521,failed
mixed,KMEV,0.29824328422546387,failed
mixed,KMRY,2.985624074935913,ok
mixed,KMSO,1.2937967777252197,ok
mixed,KNEW,1.2970423698425293,ok
mixed,KNYL,41.67535710334778,ok
mixed,KOQU,3.4906535148620605,ok
mixed,KPGA,1.2546076774597168,ok
mixed,KSBA,6.9510273933410645,ok
mixed,KSBP,2.073164463043213,ok
mixed,KSDM,2.6677935123443604,ok
mixed,KSKF,12.924099445343018,ok
mixed,KSLK,3.924802303314209,ok
mixed,KSSI,3.4495551586151123,ok
mixed,KTOA,3.664198637008667,ok
complex,KATL,24.19524908065796,ok
complex,KBNA,18.897027254104614,ok
complex,KCVG,11.528279542922974,ok
complex,KDEN,154.21633625030518,ok
complex,KDFW,102.25434970855713,ok
complex,KDTW,0.8767130374908447,failed
complex,KFFZ,1.0533015727996826,ok
complex,KGFK,3.417942762374878,ok
complex,KIAD,12.561652183532715,ok
complex,KIAH,24.22129225730896,ok
complex,KLAS,0.6373810768127441,failed
complex,KMKE,0.6589269638061523,failed
complex,KMSP,11.514573335647583,ok
complex,KNEW,3.790013313293457,ok
complex,KOKC,1.8700885772705078,failed
complex,KORD,55.74044418334961,ok
complex,KOSH,1.475531816482544,failed
complex,KPHL,1.9368059635162354,failed
complex,KPIT,1.5994775295257568,failed
complex,KSEE,3.568789482116699,ok
complex,KSLC,1.8776795864105225,failed
complex,KSMF,23.394970417022705,ok
complex,KTPA,31.780563354492188,ok
complex,KTUL,41.692806005477905,ok
complex,KTUS,9.77574872970581,ok
