category,icao,inf_time_s,status
single,KADS,6.701104164123535,ok
single,KAVL,3.1698532104492188,ok
single,KCHO,2.4282033443450928,ok
single,KCMA,3.883058547973633,ok
single,KCRW,2.6937050819396973,ok
single,KGCN,4.902121543884277,ok
single,KGEU,2.3400871753692627,ok
single,KGKY,1.8102636337280273,ok
single,KGRK,5.115142345428467,ok
single,KGSP,7.023750305175781,ok
single,KGVT,8.903856039047241,ok
single,KGYR,4.371320486068726,ok
single,KJAC,2.5241215229034424,ok
single,KLBE,4.926501035690308,ok
single,KMDT,4.464913368225098,ok
single,KMER,9.178481340408325,ok
single,KMFR,4.682855606079102,ok
single,KMYR,4.137389659881592,ok
single,KPSM,3.4375977516174316,ok
single,KRYY,1.0966565608978271,ok
single,KSDL,2.89911150932312,ok
single,KSGR,1.8145091533660889,ok
single,KTKI,1.6930739879608154,ok
single,KTTD,1.5464327335357666,ok
single,KUNV,3.1694138050079346,ok
parallel,KABI,5.367659330368042,ok
parallel,KADW,6.7651450634002686,ok
parallel,KAFW,5.343602180480957,ok
parallel,KATL,18.27985191345215,ok
parallel,KAUS,13.140669107437134,ok
parallel,KBOI,12.91957974433899,ok
parallel,KBZN,7.191135406494141,ok
parallel,KCCR,3.1490652561187744,ok
parallel,KDVT,2.461117744445801,ok
parallel,KHND,13.522847414016724,ok
parallel,KHSV,28.657642126083374,ok
parallel,KILN,11.970232725143433,ok
parallel,KIWA,13.313083171844482,ok
parallel,KJFK,37.90329384803772,ok
parallel,KLAX,19.02722477912903,ok
parallel,KLCK,99.2665421962738,ok
parallel,KLSV,2.8049890995025635,ok
parallel,KMOD,4.229234933853149,ok
parallel,KPHX,23.70220685005188,ok
parallel,KPSP,24.2951238155365,ok
parallel,KPTK,0.9986004829406738,ok
parallel,KSCK,9.39229702949524,ok
parallel,KSDM,0.6518654823303223,ok
parallel,KSPS,10.115665435791016,ok
parallel,KTYS,3.380120277404785,ok
inter,KABY,4.0124523639678955,ok
inter,KACK,6.690337181091309,ok
inter,KAVP,4.014757394790649,ok
inter,KBED,22.61618971824646,ok
inter,KBOS,64.07093071937561,ok
inter,KBTL,10.406271696090698,ok
inter,KBUF,14.31171178817749,ok
inter,KBUR,5.994796276092529,ok
inter,KCCR,3.2406935691833496,ok
inter,KCNM,9.830255270004272,ok
inter,KDHN,15.432713747024536,ok
inter,KELM,18.342171669006348,ok
inter,KESN,9.463443517684937,ok
inter,KEWB,10.415623426437378,ok
inter,KFAR,11.385313749313354,ok
inter,KFRG,5.3228936195373535,ok
inter,KHVN,15.059561967849731,ok
inter,KHYA,15.792041778564453,ok
inter,KLMT,6.945859670639038,ok
inter,KMAF,19.766313076019287,ok
inter,KMCI,11.758294105529785,ok
inter,KMQY,7.326270341873169,ok
inter,KPDK,9.85956621170044,ok
inter,KSFO,20.321712255477905,ok
inter,KSHV,26.551108598709106,ok
mixed,KABQ,24.912709951400757,ok
mixed,KCCR,3.1704442501068115,ok
mixed,KCNO,31.442697525024414,ok
mixed,KDET,4.151115894317627,ok
mixed,KDTO,2.208717107772827,ok
mixed,KDWH,1.9316458702087402,ok
mixed,KELP,19.840994119644165,ok
mixed,KEUG,22.76794123649597,ok
mixed,KEVV,8.499866962432861,ok
mixed,KFTY,1.3616111278533936,ok
mixed,KHOT,3.985083818435669,ok
mixed,KLBB,17.259691953659058,ok
mixed,KMEV,4.9386305809021,ok
mixed,KMRY,2.5141987800598145,ok
mixed,KMSO,1.7405705451965332,ok
mixed,KNEW,1.5185608863830566,ok
mixed,KNYL,85.9308385848999,ok
mixed,KOQU,3.351902961730957,ok
mixed,KPGA,1.2737948894500732,ok
mixed,KSBA,6.149055004119873,ok
mixed,KSBP,0.9019715785980225,ok
mixed,KSDM,1.0376152992248535,ok
mixed,KSKF,10.817038774490356,ok
mixed,KSLK,3.6449079513549805,ok
mixed,KSSI,3.4226503372192383,ok
mixed,KTOA,3.804178237915039,ok
complex,KATL,24.293855667114258,ok
complex,KBNA,23.52872371673584,ok
complex,KCVG,33.96374535560608,ok
complex,KDEN,260.12983202934265,ok
complex,KDFW,80.47059416770935,ok
complex,KDTW,52.610493659973145,ok
complex,KFFZ,2.7133874893188477,ok
complex,KGFK,10.735053777694702,ok
complex,KIAD,38.46378540992737,ok
complex,KIAH,72.67694592475891,ok
complex,KLAS,23.695233583450317,ok
complex,KMKE,22.099822521209717,ok
complex,KMSP,30.217836618423462,ok
complex,KNEW,3.7808916568756104,ok
complex,KOKC,19.986143350601196,ok
complex,KORD,50.14139986038208,ok
complex,KOSH,19.045100688934326,ok
complex,KPHL,27.889614820480347,ok
complex,KPIT,27.46433734893799,ok
complex,KSEE,3.41007661819458,ok
complex,KSLC,24.410082578659058,ok
complex,KSMF,21.910800457000732,ok
complex,KTPA,48.0919086933136,ok
complex,KTUL,48.18491220474243,ok
complex,KTUS,9.311531066894531,ok
