Category,Num_Airports,IoU_Mean,Num_Airports_IoU_80,Avg_Inf_Time_s
single,25,0.8547418498294685,14,1.587163610458374
parallel,25,0.8650449946936782,18,8.112738075256347
inter,25,0.864258242236302,19,8.98786127090454
mixed,26,0.8808386027668142,15,5.06434284723722
complex,25,0.8829910822893164,11,21.781437759399413
