Category,Num_Airports,IoU_Mean,Num_Airports_IoU_80,Avg_Inf_Time_s,seed
single,25,0.8912950714082891,18,4.218376932144165,
parallel,25,0.8936726447057163,20,45.3820889377594,
inter,25,0.900630265785342,19,15.164919290542603,
mixed,26,0.8991736607072889,20,10.848496382053082,
complex,25,0.8950297260050759,21,25.544327993392944,
